시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,시도명
어린이집,예인나라어린이집,경기도 오산시 북삼미로 259-18(외삼미동),경기도 오산시 외삼미동 179-7,37.1976823,127.057759,경기도 오산시,오산경찰서,Y,1,3,2021-03-16,4000000,경기도 오산시,경기도
어린이집,베스트어린이집,경기도 오산시 외삼미로 152번길 2(외삼미동),경기도 오산시 외삼미동 158-4,37.197877,127.0614234,경기도 오산시,오산경찰서,Y,1,3,2021-03-16,4000000,경기도 오산시,경기도
어린이집,시립수청어린이집,경기도 오산시 수청로 79-24 (내삼미동),경기도 오산시 내삼미동 879,37.17415694,127.054929,경기도 오산시,오산경찰서,Y,2,6,2021-03-16,4000000,경기도 오산시,경기도
어린이집,아람어린이집,경기도 오산시 매홀로 77번길 34(수청동),경기도 오산시 수청동 528-1,37.163757,127.058621,경기도 오산시,오산경찰서,Y,1,6,2021-03-16,4000000,경기도 오산시,경기도
어린이집,시립매홀어린이집,경기도 오산시 수청로 22 (수청동),경기도 오산시 수청동 557,37.172027,127.0588254,경기도 오산시,오산경찰서,Y,1,13,2021-03-16,4000000,경기도 오산시,경기도
어린이집,로뎀장애아전담 어린이집,경기도 오산시 은여울로 17번길 5(궐동),경기도 오산시 궐동 55-21,37.1577055,127.069042,경기도 오산시,오산경찰서,Y,1,4,2021-03-16,4000000,경기도 오산시,경기도
어린이집,새싹뜰어린이집,경기도 오산시 현충로 56(은계동),경기도 오산시 은계동 20-1,37.162625,127.073557,경기도 오산시,오산경찰서,Y,1,7,2021-03-16,4000000,경기도 오산시,경기도
어린이집,시립가온어린이집,경기도 오산시 경기동로 51(오산동),경기도 오산시 오산동 30-7,37.158869,127.0773162,경기도 오산시,오산경찰서,Y,1,17,2021-03-16,4000000,경기도 오산시,경기도
어린이집,청원어린이집,경기도 오산시 오산로 300번길 33(오산동),경기도 오산시 오산동 833-5,37.1537064,127.0723906,경기도 오산시,오산경찰서,Y,1,6,2021-03-16,4000000,경기도 오산시,경기도
초등학교,삼수초등학교,충청북도 진천군 진천읍 중앙서3길 6,충청북도 진천군 진천읍 읍내리 333-1,36.85555262,127.4412334,충청북도 진천군,진천경찰서,Y,20,8,2021-03-03,4450000,충청북도 진천군,충청북도
유치원,삼수초교 병설유치원,충청북도 진천군 진천읍 중앙서3길 6,충청북도 진천군 진천읍 읍내리 333-1,36.85555262,127.4412334,충청북도 진천군,진천경찰서,Y,20,8,2021-03-03,4450000,충청북도 진천군,충청북도
초등학교,상산초등학교,충청북도 진천군 진천읍 상산로 35,충청북도 진천군 진천읍 읍내리 449-3,36.85469392,127.4380529,충청북도 진천군,진천경찰서,Y,19,7,2021-03-03,4450000,충청북도 진천군,충청북도
유치원,상산초교 병설유치원,충청북도 진천군 진천읍 상산로 35,충청북도 진천군 진천읍 읍내리 350-2,36.85582415,127.437919,충청북도 진천군,진천경찰서,Y,19,7,2021-03-03,4450000,충청북도 진천군,충청북도
유치원,옥동초교 병설유치원,충청북도 진천군 덕산읍 예지로 31,충청북도 진천군 덕산읍 두촌리 2507,36.9027641,127.5300602,충청북도 진천군,진천경찰서,Y,2,8.6,2021-03-03,4450000,충청북도 진천군,충청북도
어린이집,문화어린이집,충청북도 진천군 진천읍 문화3길 37,충청북도 진천군 진천읍 신정리 665-1,36.846733,127.4428154,충청북도 진천군,진천경찰서,Y,2,7,2021-03-03,4450000,충청북도 진천군,충청북도
초등학교,오산원당초등학교,경기도 오산시 부원로87번길 37-7 (원동),경기도 오산시 원동 30-22,37.1422645,127.0909576,경기도 오산시,오산경찰서,Y,2,5,2021-03-16,4000000,경기도 오산시,경기도
초등학교,오산원일초등학교,경기도 오산시 오산로132번길 27 (원동),경기도 오산시 원동 360-19,37.1392033,127.0716946,경기도 오산시,오산경찰서,Y,2,12,2021-03-16,4000000,경기도 오산시,경기도
초등학교,운산초등학교,경기도 오산시 운암로 72 (오산동),경기도 오산시 오산동 923-1,37.1526399,127.0775339,경기도 오산시,오산경찰서,Y,2,12,2021-03-16,4000000,경기도 오산시,경기도
초등학교,운암초등학교,경기도 오산시 원동로 63 (원동),경기도 오산시 원동 815-5,37.1438536,127.0762159,경기도 오산시,오산경찰서,Y,2,6,2021-03-16,4000000,경기도 오산시,경기도
초등학교,운천초등학교,경기도 오산시 운암로 116 (부산동),경기도 오산시 부산동 778-4,37.1559507,127.0797617,경기도 오산시,오산경찰서,Y,1,12,2021-03-16,4000000,경기도 오산시,경기도
초등학교,원동초등학교,경기도 오산시 오산로 92 (원동),경기도 오산시 원동 805,37.1355282,127.069748,경기도 오산시,오산경찰서,Y,2,12,2021-03-16,4000000,경기도 오산시,경기도
초등학교,화성초등학교,경기도 오산시 내삼미로 18 (수청동),경기도 오산시 수청동 47-1,37.1647733,127.0691922,경기도 오산시,오산경찰서,Y,3,12,2021-03-16,4000000,경기도 오산시,경기도
초등학교,금암초등학교,경기도 오산시 수청로 204-20 (금암동),경기도 오산시 금암동 510,37.1787337,127.043949,경기도 오산시,오산경찰서,Y,2,6,2021-03-16,4000000,경기도 오산시,경기도
초등학교,문시초등학교,경기도 오산시 여계산로 52-6 (금암동),경기도 오산시 금암동 518,37.174282,127.0452751,경기도 오산시,오산경찰서,Y,1,12,2021-03-16,4000000,경기도 오산시,경기도
초등학교,양산초등학교,경기도 오산시 양산로 448 (양산동),경기도 오산시 양산동 667-3,37.1972091,127.0321039,경기도 오산시,오산경찰서,Y,2,9,2021-03-16,4000000,경기도 오산시,경기도
초등학교,필봉초등학교,경기도 오산시 수청로 124 (금암동),경기도 오산시 금암동 486,37.1788276,127.0523812,경기도 오산시,오산경찰서,Y,1,12,2021-03-16,4000000,경기도 오산시,경기도
초등학교,세미초등학교,경기도 오산시 내삼미로 127 (내삼미동),경기도 오산시 내삼미동 896,37.1744822,127.0643862,경기도 오산시,오산경찰서,N,1,15,2021-03-16,4000000,경기도 오산시,경기도
초등학교,다온초등학교,경기도 오산시 부산중앙로 37 (부산동),경기도 오산시 부산동 794,37.1519816,127.0908929,경기도 오산시,오산경찰서,Y,3,18,2021-03-16,4000000,경기도 오산시,경기도
초등학교,세마초등학교,경기도 오산시 세마문학로 45 (지곶동),경기도 오산시 지곶동 578,37.1696802,127.0275815,경기도 오산시,오산경찰서,Y,3,18,2021-03-16,4000000,경기도 오산시,경기도
유치원,노틀담유치원,경기도 오산시 가장로 709 (청학동),경기도 오산시 청학동 73-1,37.1535531,127.0559346,경기도 오산시,오산경찰서,Y,1,22,2021-03-16,4000000,경기도 오산시,경기도
유치원,대일유치원,경기도 오산시 경기대로 99-17 (원동),경기도 오산시 원동 807,37.1335498,127.0705773,경기도 오산시,오산경찰서,Y,1,6,2021-03-16,4000000,경기도 오산시,경기도
유치원,별새꽃유치원,경기도 오산시 경기대로 74 (갈곶동),경기도 오산시 갈곶동 251-2,37.1305528,127.0722262,경기도 오산시,오산경찰서,Y,1,15,2021-03-16,4000000,경기도 오산시,경기도
유치원,예인유치원,경기도 오산시 운암로 90 (부산동),경기도 오산시 부산동 779-1,37.153627,127.0782193,경기도 오산시,오산경찰서,Y,1,6,2021-03-16,4000000,경기도 오산시,경기도
유치원,오산유치원,경기도 오산시 시장길 38 (오산동),경기도 오산시 오산동 844-7,37.1527025,127.0695488,경기도 오산시,오산경찰서,N,0,3,2021-03-16,4000000,경기도 오산시,경기도
유치원,오산대유치원,"경기도 오산시 청학로 45 (청학동,오산대학)",경기도 오산시 청학동 17,37.1535674,127.0632067,경기도 오산시,오산경찰서,N,0,6,2021-03-16,4000000,경기도 오산시,경기도
